Index,施設名,lat,lon
176,認定こども園栄光幼稚園,,
177,幼保連携型認定こども園しらゆき夢,,
178,保育所型認定こども園丘珠ひばり保育園,,
179,認定こども園中沼保育園,,
180,伏古かしわ保育園,,
181,開成みどり保育園,,
182,認定こども園本町保育園,,
183,認定こども園東苗穂保育園,,
184,光星友愛認定こども園,,
185,認定こども園元町杉の子保育園,,
186,札幌フラワー保育園,,
187,開成いちい認定こども園,,
188,元町みどり保育園,,
189,北栄マスカット保育園,,
190,北栄みどり保育園,,
191,北栄保育園,,
192,丘珠マスカット保育園,,
193,栄町マスカット保育園,,
194,麻生むつみこども園,,
195,日の丸保育園,,
196,認定こども園おひさまさっぽろ東保育園,,
197,認定こども園かすたねっと,,
198,認定こども園栄保育園,,
199,札苗北保育園,,
200,もえれ保育園,,
201,かりき保育園,,
202,札幌厚成福祉会第二保育所,,
203,札苗保育園,,
204,モエレはとポッポ保育園,,
205,まことさつなえ保育園,,
206,勤医協ぽぷら保育園,,
207,まことさっぽろ保育園,,
208,苗穂保育園,,
209,ちゃいれっく北8条東保育園,,
210,札幌市東区保育・子育て支援センター,,
211,愛和新穂保育園,,
212,光星はとポッポ保育園,,
213,札幌第2福ちゃん保育園,,
214,札幌市みかほ保育園,,
215,心の里親保育園,,
216,明園保育園,,
217,元町にこにこ保育園,,
218,アートチャイルドケア札幌元町,,
219,はらっぱ保育園,,
220,元町保育園,,
221,栄南保育園,,
222,札幌麻生雲母保育園,,
223,栄町あおぞら保育園,,
224,おりーぶべりー保育園,,
225,北7条はな保育園,,
226,あいあい保育園,,
227,すこやか保育園北海道,,
228,苗穂みらいのたね,,
229,びくとりー保育園,,
230,あんあん乳児保育園環状通東ルーム,,
231,ぴっころきっず元町,,
232,カシオペア,,
233,あうら元町乳児保育園,,
234,あうら乳児保育園,,
235,栄町みつばち保育園,,
236,こくあの彩保育園,,
237,保育ママたんぽぽ,,
238,保育ママぐりぐら,,
239,コープさっぽろ保育園aurinko,,
240,HeartKids保育園ハートセンター,,
241,幼保連携型認定こども園南郷札幌幼稚園(R5.4.1開設),,
242,双葉こども園,,
243,認定こども園菊水すずらん保育園,,
244,東橋いちい認定こども園,,
245,菊水いちい認定こども園,,
246,北都幼稚園,,
247,飛翔認定こども園,,
248,友愛北白石認定こども園,,
249,認定こども園ピッコリーノ学院,,
250,北郷ピノキオ認定こども園,,
251,認定こども園北郷あゆみ幼稚園,,
252,幼保連携型認定こども園北郷札幌幼稚園,,
253,認定こども園北都,,
254,認定こども園北郷すずらん,,
255,認定こども園幌東,,
256,こども園まこと,,
257,認定こども園菊水元町第二保育園,,
258,保育所型認定こども園救世軍菊水上町保育園,,
259,保育所型認定こども園東川下ポッポ保育園,,
260,保育所型認定こども園白石中央保育園,,
261,北の星東札幌保育園,,
262,柏葉保育園,,
263,認定こども園白石うさこ保育園,,
264,認定こども園北白石保育園,,
265,北の星白石認定こども園,,
266,南郷保育園,,
267,大谷地たかだ保育園,,
268,札幌市菊水乳児保育園,,
269,札幌市青葉保育園,,
270,菊水元町保育園,,
271,こぶし保育園,,
272,ピッコロ子ども倶楽部東札幌園,,
273,にこまるえん白石,,
274,札幌市東札幌保育園,,
275,ニチイキッズしろいし保育園,,
276,東札幌かすたねっと保育園,,
277,札幌市白石区保育・子育て支援センター,,
278,札幌市東白石保育園,,
279,ポピンズナーサリースクール札幌白石,,
280,南郷通たかだ保育園,,
281,大藤子ども園,,
282,札幌愛隣舘第二保育園,,
283,米里保育園,,
284,北郷こぶし保育園,,
285,太陽の子札幌白石保育園,,
286,アスク白石保育園,,
287,東白石雪ん子保育園,,
288,ちゅうわ南郷保育園,,
289,もりのなかま保育園菊水元町園,,
290,ぴっころきっず東札幌,,
291,ぴっころきっず白石駅前,,
292,保育室すまいる,,
293,大藤子ども園しらかば館,,
294,木育こどもの家 白石園,,
295,大藤子ども園ほんごう館,,
296,保育ママだんだん,,
297,にこまるえん南郷,,
298,にこまるえん東白石,,
299,白石よつば保育園,,
300,じゅんのめ保育園,,
301,認定こども園いちい幼稚園・保育園,,
302,認定こども園桜台いちい幼稚園・保育園,,
303,認定こども園第2あつべつ幼稚園,,
304,幼保連携型認定こども園ひばりが丘明星幼稚園,,
305,認定こども園厚別さくら木保育園,,
306,認定こども園新さっぽろ幼稚園・保育園,,
307,認定こども園北光幼稚園(R5.4.1開設),,
308,認定こども園おおやち,,
309,厚別西認定こども園,,
310,認定こども園札幌わんぱく館,,
311,厚別もえぎこども園,,
312,ひばりが丘あすなろ認定こども園,,
313,認定こども園もみじ台幼稚園,,
314,認定こども園虹の森カトリック幼稚園(R5.4開設),,
315,認定こども園札幌あおば幼稚園,,
316,まごころ保育園,,
317,札幌協働保育園,,
318,もみじ台南保育園,,
319,もみじ台北保育園,,
320,きっずぱーく厚別保育園,,
321,札幌市厚別区保育・子育て支援センター,,
322,ひばりが丘保育園,,
323,厚別こま草保育園,,
324,新さっぽろとまと保育園,,
325,厚別共栄保育園,,
326,青葉興正保育園,,
327,サクラ保育園厚別西,,
328,厚別西クレヨン保育園,,
329,ひばりが丘あんさんぶる保育園,,
330,はぐくみ園厚別,,
331,みんなのナーサリー,,
332,サクラ保育園上野幌,,
333,認定こども園月寒そらいろ保育園,,
334,認定こども園しののめ,,
335,東月寒にれこども園,,
336,こども園・ひかりのこ さっぽろ,,
337,にれ第2こども園,,
338,こりっつ認定こども園,,
339,認定こども園まなび,,
340,認定こども園札幌ゆたか幼稚園,,
341,さっぽろこども園,,
342,認定こども園ひらぎし幼稚園,,
343,認定こども園月寒西わんぱく保育園,,
344,東月寒認定こども園,,
345,認定こども園みのり保育園,,
346,西岡高台こども園,,
347,認定こども園羊丘藤保育園,,
348,保育所型認定こども園 福住保育園,,
349,認定こども園中の島保育園,,
350,認定こども園中の島スマイル,,
351,平岸興正こども園,,
352,平岸友愛認定こども園,,
353,認定こども園とよひら保育園,,
354,認定こども園なかのしま幼稚園,,
355,西岡保育園,,
356,スクルドエンジェル保育園月寒園,,
357,札幌市豊平区保育・子育て支援センター,,
358,ピッコロ子ども倶楽部福住園,,
359,月寒じゅんのめ保育園,,
360,ピッコロ子ども倶楽部月寒園,,
361,中の島興正保育園,,
362,札幌市美園保育園,,
363,吉田学園やしの木保育園,,
364,札幌愛隣舘りんご保育園,,
365,子どもの家保育園,,
366,札幌愛隣舘東山保育園,,
367,乳幼児保育クラブぞうさん,,
368,きゃんばす平岸保育園,,
369,札幌第1福ちゃん保育園,,
370,札幌愛隣舘保育園,,
371,札幌じけい保育園,,
372,ちびっこ保育るーむ札幌ドーム前園,,
373,ペガサス,,
374,はるにれ保育園,,
375,豊園よつば保育園,,
376,ナーサリーゆめの木,,
377,えとわーる保育園,,
378,美園よつば保育園,,
379,レーベン美園保育園,,
380,あんあん保育園福住ルーム,,
381,平岸オレンジ保育園,,
382,あんあん保育園平岸ルーム,,
383,ひまわりsun保育園,,
384,太陽こころナーサリー平岸,,
385,ちびっこ保育ルーム平岸ひまわり園,,
386,美晴の家保育園,,
387,とよひらる~む,,
388,さくらいろ保育園,,
389,西岡くりの木保育園,,
390,こどもクラブしらかば,,
391,札幌ドリーム保育園,,
392,こころキッズワタキュー中の島ルーム,,
393,札幌市立認定こども園にじいろ,,
394,札幌国際大学付属認定こども園,,
395,認定こども園ひかり,,
396,アルプス認定こども園,,
397,認定こども園北野しらかば幼稚園・保育園,,
398,認定こども園つみき,,
399,認定こども園からまつ保育園,,
400,花山認定こども園,,
401,認定こども園清田保育園,,
402,認定こども園札幌杉の子保育園,,
403,認定こども園札幌きたの幼稚園,,
404,札幌真栄東保育園,,
405,ちゅうわ清田保育園,,
406,札幌南清田保育園,,
407,ラブクローバーの保育園札幌清田,,
408,認可保育園Lindo,,
409,札幌あさひ保育園,,
410,さわやか保育園,,
411,ラブクローバーの保育園札幌北野,,
412,札幌北野保育園,,
413,緑ヶ丘保育園,,
414,小規模保育所mirea,,
415,よつば保育園,,
416,まんまる保育園,,
417,いちご乳児保育園,,
418,くるみ乳児保育園,,
419,さくら乳児保育園,,
420,保育ママおひさま,,
421,幼保連携型認定こども園ときわみなみのこどもえん,,
422,認定こども園まこまない明星幼稚園,,
423,光塩学園女子短期大学附属認定こども園,,
424,幼保連携型認定こども園澄川ひろのぶ保育園,,
425,認定こども園そらいろ,,
426,認定こども園札幌石山保育園,,
427,認定こども園澄川保育園,,
428,もいわ中央こども園,,
429,認定こども園定山渓保育園,,
430,こどもみらい保育園常盤園,,
431,遊・Wing,,
432,真駒内保育園,,
433,まこまないみどりまち保育園,,
434,ちびっこの杜保育園,,
435,大地の杜保育園,,
436,ルンビニー保育園,,
437,藤ヶ丘保育園,,
438,もいわ光華保育園,,
439,くまの子保育園,,
440,木育こどもの家南の沢保育園,,
441,札幌市南区保育・子育て支援センター,,
442,ひろのぶ乳児保育園,,
443,澄川まんまる保育園,,
444,りとるkid'sクラブ自衛隊前保育園,,
445,澄川いちご保育園,,
446,ふれ愛澄川南保育園,,
447,木育こどもの家 藤野園,,
448,S.Tナーサリースクール藤野,,
449,ふじのバンビーニ保育園,,
450,ちゅうわ南保育園,,
451,保育ママつぼみ,,
452,真駒内駐屯地庁内託児所,,
453,もなみの里保育園,,
454,認定こども園宮の沢すずらん,43.09041027,141.2742171
455,認定こども園西町さつき保育園,43.08561352,141.2761378
456,認定こども園西野そらいろ保育園,43.07731687,141.2729015
457,認定こども園にしの(R5.4.1開設),43.06266361,141.2624206
458,認定こども園琴似教会幼稚園,43.08331123,141.310626
459,幼保連携型認定こども園幸明幼稚園,43.09327864,141.30561
460,発寒にこりんこども園,43.08846185,141.2942193
461,認定こども園森のタータン保育園宮の沢,43.09071421,141.2753079
462,たかさごスクール宮の沢,43.09293872,141.2640512
463,宮の沢桃の花こども園,43.08557362,141.2637474
464,琴似あやめ保育園,43.07972327,141.3059031
465,保育所型認定こども園手稲東保育園,43.08114965,141.2806771
466,認定こども園西野保育園,43.06586395,141.274943
467,西野あおい保育園,43.07212378,141.2643244
468,札幌西友愛認定こども園,43.06577312,141.3139235
469,二十四軒保育園(0・1歳分園含む),,
470,八軒太陽の子保育園,43.07038555,141.3048899
471,認定こども園かがやき,43.09831004,141.302375
472,発寒保育園,43.0842935,141.2998171
473,認定こども園発寒わんぱく保育園,43.09775887,141.2689457
474,札幌宮の沢雲母保育園,43.09405663,141.2696803
475,琴似にじのいろ保育園,43.07856383,141.299641
476,アートチャイルドケア琴似,43.08307938,141.3047858
477,山の手あすみ保育園,43.06970911,141.298077
478,山の手にじのいろ保育園,43.06730927,141.2955297
479,札幌市山の手保育園,43.0674044,141.2918783
480,ピッコロ子ども倶楽部発寒南駅前園,43.08060253,141.2904065
481,西野ふれ愛保育園,43.07689534,141.2854896
482,西野中央保育園,43.07163836,141.2777501
483,ラブクローバーの保育園札幌西野,43.06533544,141.2668469
484,札幌市二十四軒南保育園 / 札幌市二十四軒南保育園(夜間部),43.07011081,141.3158377
485,アートチャイルドケア札幌二十四軒,43.07067654,141.3160038
486,札幌市西区保育・子育て支援センター,43.07116358,141.3080698
487,ことに保育園,43.07635595,141.3086736
488,こぐま保育園,43.0725797,141.3047709
489,八軒星の子保育園,43.08957599,141.3068411
490,アートチャイルドケア札幌八軒,43.08576406,141.3190916
491,吉田学園さくら保育園,43.09043879,141.3131675
492,発寒ひかり保育園,43.08659104,141.286954
493,発寒もりのわ保育園,43.08675187,141.2812765
494,発寒そらいろ保育園,43.09439559,141.2793035
495,西発寒保育園,43.09460952,141.2821738
496,ちゅうわ発寒保育園,43.10055115,141.2730767
497,発寒たんぽぽ保育園,43.09604699,141.2903105
498,発寒おおぞら保育園,43.10134797,141.2981622
499,ピッコロ子ども倶楽部福井保育園,43.05635252,141.2687795
500,平和あすみ保育園,43.0581246,141.2576709
501,平和にじのいろ保育園,43.05361767,141.2554501
502,山の手ちびっこ保育園,43.07003739,141.2969452
