"施設名","区","住所","0歳児受入予定","0歳児申込","1歳児受入予定","1歳児申込","2歳児受入予定","2歳児申込","3歳児受入予定","3歳児申込","4歳児受入予定","4歳児申込","5歳児受入予定","5歳児申込"
"幼保連携型認定こども園ひばりが丘明星幼稚園","厚別区","厚別中央2-4",6,7,2,28,0,5,0,10,0,5,0,3
"認定こども園厚別さくら木保育園","厚別区","厚別東3-1",8,4,4,29,4,10,0,9,0,3,4,2
"認定こども園新さっぽろ幼稚園・保育園","厚別区","上野幌1-2",5,4,5,17,2,8,6,10,0,1,3,1
"認定こども園北光幼稚園(R5.4.1開設)","厚別区","青葉町7",3,1,4,11,5,6,5,6,2,4,6,2
"認定こども園おおやち","厚別区","大谷地東3",6,10,0,9,2,4,0,6,0,1,0,2
"厚別西認定こども園","厚別区","厚別西4-4",7,7,6,24,2,9,0,6,0,3,0,1
"認定こども園札幌わんぱく館","厚別区","厚別中央5-6",4,9,1,14,1,5,1,11,0,1,2,1
"厚別もえぎこども園","厚別区","厚別東5-7",6,7,3,12,2,2,0,1,0,0,0,0
"ひばりが丘あすなろ認定こども園","厚別区","厚別南1",3,2,3,3,0,2,0,1,0,0,0,0
"認定こども園もみじ台幼稚園","厚別区","もみじ台北5","","","","","","",2,0,3,0,0,0
"認定こども園虹の森カトリック幼稚園(R5.4開設)","厚別区","厚別東3-4","","","","","","",7,1,2,1,0,1
"認定こども園札幌あおば幼稚園","厚別区","厚別北3-5","","","","","","",4,2,2,1,2,0
"まごころ保育園","厚別区","厚別町上野幌822",6,5,6,8,0,2,0,1,1,0,0,0
"札幌協働保育園","厚別区","もみじ台西6",7,7,9,4,0,3,1,4,6,0,3,0
"もみじ台南保育園","厚別区","もみじ台南6",3,3,3,7,4,0,0,0,3,1,0,0
"もみじ台北保育園","厚別区","もみじ台北4",5,6,6,7,6,1,1,3,0,0,1,0
"きっずぱーく厚別保育園","厚別区","厚別西4-2",2,3,5,9,0,4,2,6,1,4,1,0
"札幌市厚別区保育・子育て支援センター","厚別区","厚別中央1-6",5,14,6,27,0,6,0,5,0,0,1,0
"ひばりが丘保育園","厚別区","厚別中央2-4",8,20,5,29,2,8,2,8,1,1,1,1
"厚別こま草保育園","厚別区","厚別中央3-4",11,9,11,21,0,4,0,4,0,4,0,1
"新さっぽろとまと保育園","厚別区","厚別東2-3",4,6,4,13,0,5,0,5,0,1,0,1
"厚別共栄保育園","厚別区","厚別南1",8,14,8,27,3,7,3,12,1,0,0,1
"青葉興正保育園","厚別区","青葉町2",13,17,7,29,0,5,0,12,0,1,1,1
"サクラ保育園厚別西","厚別区","厚別西2-4",5,1,4,8,3,4,"","","","","",""
"厚別西クレヨン保育園","厚別区","厚別西3-3",2,0,7,9,0,2,"","","","","",""
"ひばりが丘あんさんぶる保育園","厚別区","厚別中央3-2",2,4,4,3,1,2,"","","","","",""
"はぐくみ園厚別","厚別区","厚別南2",3,2,5,7,1,2,"","","","","",""
"みんなのナーサリー","厚別区","厚別南5",1,0,6,11,1,0,"","","","","",""
"サクラ保育園上野幌","厚別区","上野幌3-4",4,1,6,1,4,0,"","","","","",""
"認定こども園月寒そらいろ保育園","豊平区","月寒西4-6",9,26,9,38,0,6,0,14,0,4,3,1
"認定こども園しののめ","豊平区","月寒東1-2","","",5,12,1,4,5,10,0,0,1,1
"東月寒にれこども園","豊平区","月寒東3-16",15,21,5,28,1,6,0,4,0,3,0,0
"こども園・ひかりのこ さっぽろ","豊平区","月寒東4-9",16,18,2,30,1,15,0,14,0,2,0,3
"にれ第2こども園","豊平区","月寒東5-16",19,21,10,28,2,7,3,4,1,7,1,0
"こりっつ認定こども園","豊平区","西岡1-7",8,15,9,34,3,9,0,11,0,4,0,3
"認定こども園まなび","豊平区","西岡3-5",7,28,4,36,0,12,0,14,0,5,0,7
"認定こども園札幌ゆたか幼稚園","豊平区","豊平4-3","","",3,26,0,1,0,13,0,1,0,1
"さっぽろこども園","豊平区","豊平6-3",8,7,8,24,2,5,1,7,6,0,2,0
"認定こども園ひらぎし幼稚園","豊平区","平岸3-12",9,11,9,27,4,12,2,10,0,2,0,4
"認定こども園月寒西わんぱく保育園","豊平区","月寒西1-11",6,14,4,27,0,1,0,5,1,0,1,0
"東月寒認定こども園","豊平区","月寒東1-19",9,10,11,21,0,2,7,3,7,0,4,0
"認定こども園みのり保育園","豊平区","月寒東2-11",9,7,5,22,2,2,2,4,1,2,0,0
"西岡高台こども園","豊平区","西岡4-12",9,18,3,15,6,7,2,9,0,2,0,5
"認定こども園羊丘藤保育園","豊平区","福住1-3",9,10,2,17,2,3,0,6,0,1,2,0
"保育所型認定こども園 福住保育園","豊平区","福住2-9",6,9,7,10,2,4,1,1,1,2,1,1
"認定こども園中の島保育園","豊平区","中の島2-9",6,6,7,21,0,1,0,4,0,0,0,1
"認定こども園中の島スマイル","豊平区","平岸1-2",7,14,4,18,4,6,1,5,3,0,0,2
"平岸興正こども園","豊平区","平岸1-11",8,11,4,22,0,2,1,7,0,1,0,3
"平岸友愛認定こども園","豊平区","平岸2-6",9,20,0,25,2,8,0,11,0,2,0,2
"認定こども園とよひら保育園","豊平区","豊平3-11",9,8,6,19,0,4,0,13,3,1,0,1
"認定こども園なかのしま幼稚園","豊平区","中の島2-2","","","","","","",10,14,0,3,0,1
"西岡保育園","豊平区","月寒西2-10",16,14,1,19,1,6,0,5,0,1,0,0
"スクルドエンジェル保育園月寒園","豊平区","月寒西5-10",4,9,3,8,0,1,1,3,1,0,1,0
"札幌市豊平区保育・子育て支援センター","豊平区","月寒東1-4",7,14,5,27,7,12,0,6,2,3,0,0
"ピッコロ子ども倶楽部福住園","豊平区","月寒東1-15",4,5,5,7,1,1,1,1,2,1,1,0
"月寒じゅんのめ保育園","豊平区","月寒東3-11",3,9,6,27,0,7,2,8,0,2,0,1
"ピッコロ子ども倶楽部月寒園","豊平区","月寒東5-10",2,2,2,9,1,0,1,1,2,1,0,0
"中の島興正保育園","豊平区","中の島2-1",6,13,0,14,0,7,0,5,0,2,0,1
"札幌市美園保育園","豊平区","美園5-7",6,16,5,16,2,11,4,21,8,1,5,0
"吉田学園やしの木保育園","豊平区","平岸1-15",6,22,9,28,6,10,0,9,0,1,0,2
"札幌愛隣舘りんご保育園","豊平区","平岸4-1",4,10,6,20,4,6,5,19,1,2,1,0
"子どもの家保育園","豊平区","平岸4-9",10,6,3,11,0,5,0,6,1,0,2,1
"札幌愛隣舘東山保育園","豊平区","平岸4-11",4,11,10,21,0,4,5,13,0,1,0,1
"乳幼児保育クラブぞうさん","豊平区","平岸6-13",5,9,5,9,0,2,0,1,0,0,0,0
"きゃんばす平岸保育園","豊平区","平岸6-14",7,15,7,9,2,5,2,3,1,0,2,1
"札幌第1福ちゃん保育園","豊平区","豊平1-13",10,9,3,9,2,8,0,7,1,0,0,0
"札幌愛隣舘保育園","豊平区","豊平4-3",8,11,5,23,7,3,4,10,4,0,2,0
"札幌じけい保育園","豊平区","旭町7","","",10,7,0,0,"","","","","",""
"ちびっこ保育るーむ札幌ドーム前園","豊平区","月寒東1-15",3,3,6,6,1,0,"","","","","",""
"ペガサス","豊平区","中の島2-3",3,7,4,8,0,1,"","","","","",""
"はるにれ保育園","豊平区","中の島2-7",2,3,5,7,0,0,"","","","","",""
"豊園よつば保育園","豊平区","美園2-6",4,5,3,8,1,0,"","","","","",""
"ナーサリーゆめの木","豊平区","美園3-4",5,2,1,4,1,1,"","","","","",""
"えとわーる保育園","豊平区","美園3-7",3,2,8,6,1,0,"","","","","",""
"美園よつば保育園","豊平区","美園7-5",3,4,3,5,2,1,"","","","","",""
"レーベン美園保育園","豊平区","美園8-3",4,6,4,9,0,3,"","","","","",""
"あんあん保育園福住ルーム","豊平区","福住1-6",2,5,2,6,2,1,"","","","","",""
"平岸オレンジ保育園","豊平区","平岸2-6",0,0,0,3,0,0,"","","","","",""
"あんあん保育園平岸ルーム","豊平区","平岸2-9",5,2,1,11,0,0,"","","","","",""
"ひまわりsun保育園","豊平区","平岸2-11",1,0,2,7,1,0,"","","","","",""
"太陽こころナーサリー平岸","豊平区","平岸3-4",4,2,2,5,0,0,"","","","","",""
"ちびっこ保育ルーム平岸ひまわり園","豊平区","平岸3-5",3,1,2,5,1,1,"","","","","",""
"美晴の家保育園","豊平区","平岸6-17",3,5,4,6,0,2,"","","","","",""
"とよひらる~む","豊平区","豊平3-12",5,1,1,3,0,0,"","","","","",""
"さくらいろ保育園","豊平区","豊平8-12",5,2,7,9,9,2,"","","","","",""
"西岡くりの木保育園","豊平区","西岡1-8",1,4,8,10,3,1,"","","","","",""
"こどもクラブしらかば","豊平区","月寒東3-18",4,3,4,3,2,0,"","","","","",""
"札幌ドリーム保育園","豊平区","水車町1",2,1,3,5,0,0,"","","","","",""
"こころキッズワタキュー中の島ルーム","豊平区","中の島2-7",0,1,0,3,0,0,"","","","","",""
"札幌市立認定こども園にじいろ","清田区","真栄2-1",6,6,3,23,1,9,2,7,0,3,0,1
"札幌国際大学付属認定こども園","清田区","清田4-2",5,11,0,13,0,9,4,13,4,3,2,2
"認定こども園ひかり","清田区","清田6-3",6,10,12,16,0,15,10,10,10,3,4,2
"アルプス認定こども園","清田区","平岡4-3",8,10,3,21,0,4,1,9,0,2,0,0
"認定こども園北野しらかば幼稚園・保育園","清田区","北野5-2",10,7,0,13,6,3,12,11,1,3,1,0
"認定こども園つみき","清田区","里塚1-1",9,5,9,17,0,5,8,6,8,3,8,0
"認定こども園からまつ保育園","清田区","里塚2-2",9,3,6,17,6,3,3,2,0,0,2,0
"花山認定こども園","清田区","里塚緑ケ丘3",14,7,1,13,1,4,0,6,0,0,0,1
"認定こども園清田保育園","清田区","平岡1-2",12,18,22,35,3,3,2,7,0,1,0,1
"認定こども園札幌杉の子保育園","清田区","北野4-3",9,7,10,16,0,2,4,4,3,1,0,0
"認定こども園札幌きたの幼稚園","清田区","北野6-5","","","","","","",10,7,0,1,0,0
"札幌真栄東保育園","清田区","真栄5-5",3,3,5,5,4,1,2,0,3,0,2,0
"ちゅうわ清田保育園","清田区","清田1-4",6,3,0,4,3,1,4,0,3,0,3,0
"札幌南清田保育園","清田区","清田5-2",4,3,4,3,4,2,4,1,2,0,0,0
"ラブクローバーの保育園札幌清田","清田区","清田7-2",5,5,4,3,4,5,1,2,3,0,1,1
"認可保育園Lindo","清田区","清田7-4",2,4,5,8,3,4,3,2,3,1,5,0
"札幌あさひ保育園","清田区","美しが丘3-2",8,4,5,13,0,2,0,1,1,1,0,0
"さわやか保育園","清田区","平岡6-2",5,1,7,4,5,1,7,4,4,0,2,0
"ラブクローバーの保育園札幌北野","清田区","北野1-1",1,2,3,6,0,0,0,1,2,0,8,0
"札幌北野保育園","清田区","北野7-4",3,15,3,21,0,4,0,11,0,0,0,0
"緑ヶ丘保育園","清田区","里塚緑ヶ丘6",6,2,8,7,8,0,6,6,12,0,11,0
"小規模保育所mirea","清田区","北野5-3",3,2,4,5,1,0,"","","","","",""
"よつば保育園","清田区","清田2-1",3,2,4,3,1,0,"","","","","",""
"まんまる保育園","清田区","里塚緑ヶ丘6",3,1,3,5,0,1,"","","","","",""
"いちご乳児保育園","清田区","平岡1-2",5,0,0,1,0,1,"","","","","",""
"くるみ乳児保育園","清田区","平岡2-1",3,0,3,3,0,0,"","","","","",""
"さくら乳児保育園","清田区","平岡2-5",4,0,5,1,0,0,"","","","","",""
"保育ママおひさま","清田区","清田7-1",2,3,0,0,0,1,"","","","","",""
"幼保連携型認定こども園ときわみなみのこどもえん","南区","真駒内380",8,4,2,9,2,6,7,8,0,1,0,2
"認定こども園まこまない明星幼稚園","南区","真駒内泉町2",2,3,6,13,0,8,1,6,0,0,0,0
"光塩学園女子短期大学附属認定こども園","南区","真駒内上町3",3,7,3,18,0,5,7,20,0,3,0,5
"幼保連携型認定こども園澄川ひろのぶ保育園","南区","澄川2-1",9,19,0,20,0,10,3,26,0,2,0,4
"認定こども園そらいろ","南区","澄川6-11",9,21,8,31,1,14,1,25,0,13,0,12
"認定こども園札幌石山保育園","南区","石山1-4",15,20,5,31,1,12,0,26,0,3,3,4
"認定こども園澄川保育園","南区","澄川5-5",9,12,7,25,1,12,0,19,0,4,0,1
"もいわ中央こども園","南区","川沿6-3",8,16,9,27,6,16,0,16,0,2,0,5
"認定こども園定山渓保育園","南区","定山渓温泉東3",2,0,1,2,1,2,2,1,1,0,2,0
"こどもみらい保育園常盤園","南区","常盤2-2",3,6,8,4,4,1,0,4,1,0,0,0
"遊・Wing","南区","真駒内曙町3",1,4,4,12,0,2,1,8,1,3,0,0
"真駒内保育園","南区","真駒内南町1",10,18,4,21,2,12,2,17,2,6,0,1
"まこまないみどりまち保育園","南区","真駒内緑町3",9,24,5,38,0,16,0,20,0,3,0,1
"ちびっこの杜保育園","南区","澄川4-2",4,7,0,12,0,6,1,11,0,3,0,0
"大地の杜保育園","南区","川沿1-1",2,6,8,9,0,7,0,2,0,0,0,1
"ルンビニー保育園","南区","川沿9-2",3,12,3,17,3,14,2,16,1,2,0,4
"藤ヶ丘保育園","南区","藤野4-5",4,8,6,13,1,2,0,12,0,1,0,1
"もいわ光華保育園","南区","南30西8",2,7,3,9,5,3,0,3,0,2,0,1
"くまの子保育園","南区","南沢2-3",7,5,2,6,1,4,1,0,2,0,0,1
"木育こどもの家南の沢保育園","南区","南沢5-3",5,3,0,5,0,5,0,4,0,1,0,1
"札幌市南区保育・子育て支援センター","南区","真駒内幸町2",4,9,2,17,0,2,"","","","","",""
"ひろのぶ乳児保育園","南区","澄川3-1",5,13,0,14,0,5,"","","","","",""
"澄川まんまる保育園","南区","澄川3-4",5,1,5,10,0,1,"","","","","",""
"りとるkid'sクラブ自衛隊前保育園","南区","澄川4-7",3,2,3,8,0,1,"","","","","",""
"澄川いちご保育園","南区","澄川5-3",3,3,4,11,0,1,"","","","","",""
"ふれ愛澄川南保育園","南区","澄川6-12",3,5,5,6,0,0,"","","","","",""
"木育こどもの家 藤野園","南区","藤野3-2",6,6,3,0,2,5,"","","","","",""
"S.Tナーサリースクール藤野","南区","藤野3-4",3,2,3,0,3,1,"","","","","",""
"ふじのバンビーニ保育園","南区","藤野4-11",1,7,8,6,0,2,"","","","","",""
"ちゅうわ南保育園","南区","南37西11",4,1,6,5,0,0,"","","","","",""
"保育ママつぼみ","南区","南34西9",0,0,2,2,2,0,"","","","","",""
"真駒内駐屯地庁内託児所","南区","真駒内17",5,0,5,0,0,0,"","","","","",""
"もなみの里保育園","南区","石山1-1",2,0,0,1,0,1,"","","","","",""
"認定こども園宮の沢すずらん","西区","宮の沢1-2",9,17,2,33,1,13,0,9,0,4,0,3
"認定こども園西町さつき保育園","西区","西町南19",2,12,4,37,4,22,2,17,3,5,2,3
"認定こども園西野そらいろ保育園","西区","西野4-7",9,17,9,43,0,10,0,11,0,4,0,1
"認定こども園にしの(R5.4.1開設)","西区","西野9-5",12,23,20,30,17,17,17,13,12,5,12,3
"認定こども園琴似教会幼稚園","西区","八軒2条西7",4,10,7,23,1,8,1,13,1,4,1,7
"幼保連携型認定こども園幸明幼稚園","西区","八軒6条西7",0,2,5,7,0,6,0,6,0,0,0,1
"発寒にこりんこども園","西区","発寒5-3",3,15,3,17,6,10,22,22,13,2,0,6
"認定こども園森のタータン保育園宮の沢","西区","宮の沢1-1",10,31,6,66,2,22,0,31,0,7,1,2
"たかさごスクール宮の沢","西区","宮の沢2-5",9,14,7,12,0,2,0,3,0,1,0,0
"宮の沢桃の花こども園","西区","宮の沢3-3",6,6,4,13,0,8,0,5,0,0,0,1
"琴似あやめ保育園","西区","琴似2-2",5,14,3,28,3,6,2,11,0,0,1,2
"保育所型認定こども園手稲東保育園","西区","西町南13",13,14,5,33,5,10,0,5,0,0,0,1
"認定こども園西野保育園","西区","西野7-2",9,16,10,27,3,7,14,24,5,3,2,1
"西野あおい保育園","西区","西野7-8",3,14,3,22,3,2,1,6,0,0,1,0
"札幌西友愛認定こども園","西区","二十四軒1-7",10,11,1,14,1,7,0,10,0,2,0,1
"二十四軒保育園(0・1歳分園含む)","西区","二十四軒3-7",6,7,2,16,4,7,0,2,1,2,0,0
"八軒太陽の子保育園","西区","八軒3東4",13,18,2,10,3,9,1,5,2,3,0,0
"認定こども園かがやき","西区","八軒7西11",9,3,7,13,1,3,0,5,0,0,0,0
"発寒保育園","西区","発寒3-1",5,11,2,21,3,6,2,7,1,0,0,1
"認定こども園発寒わんぱく保育園","西区","発寒6-14",9,13,0,17,0,7,0,16,0,5,0,1
"札幌宮の沢雲母保育園","西区","宮の沢1-4",6,9,4,16,1,4,1,8,1,2,2,0
"琴似にじのいろ保育園","西区","琴似3-4",3,7,0,26,0,1,0,14,0,2,0,0
"アートチャイルドケア琴似","西区","琴似4-1",3,5,2,21,1,2,0,5,0,1,0,0
"山の手あすみ保育園","西区","山の手2-4",12,14,3,24,0,3,0,4,0,1,0,0
"山の手にじのいろ保育園","西区","山の手2-7",4,4,2,13,2,2,0,6,0,0,0,0
"札幌市山の手保育園","西区","山の手4-8",5,12,5,18,10,7,2,2,3,0,2,0
"ピッコロ子ども倶楽部発寒南駅前園","西区","西町北6",5,12,3,28,0,7,0,9,0,1,0,3
"西野ふれ愛保育園","西区","西野1-2",6,5,5,15,2,7,0,4,0,2,0,0
"西野中央保育園","西区","西野4-3",4,7,4,21,4,7,0,4,0,3,0,1
"ラブクローバーの保育園札幌西野","西区","西野8-5",3,5,4,10,0,1,0,4,0,1,1,0
"札幌市二十四軒南保育園 / 札幌市二十四軒南保育園(夜間部)","西区","二十四軒1-4",5,11,9,23,1,3,2,6,1,0,1,1
"アートチャイルドケア札幌二十四軒","西区","二十四軒1-4",5,8,6,16,0,4,0,6,2,0,0,0
"札幌市西区保育・子育て支援センター","西区","二十四軒3-5",7,16,2,34,4,10,1,7,3,3,1,2
"ことに保育園","西区","二十四軒4-3",6,16,2,29,1,3,2,11,0,2,0,1
"こぐま保育園","西区","二十四軒4-6",6,14,3,28,0,5,0,7,0,1,0,1
"八軒星の子保育園","西区","八軒4西5",3,4,7,12,0,2,4,3,2,0,0,1
"アートチャイルドケア札幌八軒","西区","八軒6東3",3,8,5,5,2,5,1,3,0,1,1,0
"吉田学園さくら保育園","西区","八軒7西2",17,17,4,20,0,5,2,9,0,1,0,1
"発寒ひかり保育園","西区","発寒5-6",15,15,0,9,0,10,3,8,0,2,0,2
"発寒もりのわ保育園","西区","発寒5-8",3,5,1,9,1,9,0,10,0,1,0,1
"発寒そらいろ保育園","西区","発寒8-11",9,23,9,64,0,16,3,29,0,1,0,3
"西発寒保育園","西区","発寒9-11",4,10,6,25,7,8,2,15,0,1,0,2
"ちゅうわ発寒保育園","西区","発寒9-14",6,1,3,7,0,2,0,3,1,1,0,0
"発寒たんぽぽ保育園","西区","発寒11-5",6,10,1,9,3,5,6,7,4,1,2,1
"発寒おおぞら保育園","西区","発寒14-2",9,9,3,16,1,7,3,6,0,0,0,1
"ピッコロ子ども倶楽部福井保育園","西区","福井4",5,11,8,11,2,4,0,2,7,1,4,2
"平和あすみ保育園","西区","平和2-4",10,6,2,16,0,3,0,7,0,2,0,0
"平和にじのいろ保育園","西区","平和3-6",5,3,5,10,0,2,0,5,0,1,0,0
"山の手ちびっこ保育園","西区","山の手3-4",3,0,2,9,2,2,"","","","","",""
"はぐはぐ乳児保育園","西区","西町南10",5,1,3,4,0,2,"","","","","",""
"西町にじのいろ保育園","西区","西町北15",4,1,4,6,2,2,"","","","","",""
"すまいる保育園","西区","西野8-3",2,1,4,9,1,1,"","","","","",""
"西野にじのいろ保育園","西区","西野8-8",3,4,5,5,1,1,"","","","","",""
"ころころ保育園","西区","二十四軒4-2",2,2,5,8,0,1,"","","","","",""
"こぐまハウス","西区","二十四軒4-6",3,2,4,9,0,0,"","","","","",""
"八軒あじさい保育園","西区","八軒4東1",3,1,3,7,0,0,"","","","","",""
"S.T.ナーサリーSCHOOL八軒","西区","八軒5西2",3,0,2,7,0,0,"","","","","",""
"発寒にじのいろ保育園","西区","発寒2-5",3,2,4,18,0,2,"","","","","",""
"森のタータン保育園マール","西区","発寒3-6",2,1,3,13,1,2,"","","","","",""
"森のタータン保育園コピス","西区","発寒6-9",6,10,0,12,0,5,"","","","","",""
"こどもプラザ青い鳥宮の沢園","西区","発寒6-9",2,2,3,6,0,2,"","","","","",""
"宮の沢みらいのたね","西区","発寒7-14",3,0,5,9,1,1,"","","","","",""
"発寒みらいのたね","西区","発寒12-4",5,3,4,5,3,2,"","","","","",""
"保育るーむひなたぼっこ","西区","八軒4西4",0,0,1,2,0,0,"","","","","",""
"レーベンそらまめ琴似保育園","西区","八軒2西4",6,1,3,12,3,1,"","","","","",""
"八軒西もみじ保育園","西区","八軒7西11",2,0,2,0,2,0,"","","","","",""
"発寒コグマ保育園","西区","発寒13-4",2,1,3,2,0,0,"","","","","",""
"さくらんぼ保育園","西区","発寒17-3",2,0,4,4,0,0,"","","","","",""
"手稲やまなみ認定こども園(0・1歳分園含む)","手稲区","稲穂2-5",12,14,6,21,0,6,1,9,4,1,1,2
"ていねあすなろ認定こども園(0・1歳分園含む)","手稲区","曙5-3",6,10,6,20,0,5,0,4,0,1,0,0
"幼保連携型認定こども園山王幼稚園","手稲区","曙9-1",0,2,10,24,1,3,0,10,0,2,0,4
"認定こども園まつばの杜","手稲区","新発寒5-9",4,13,6,24,4,11,3,12,5,1,2,1
"星置ピノキオ認定こども園","手稲区","星置1-1",5,16,5,33,3,7,0,10,0,3,0,1
"認定こども園ほしおきガーデン星の子幼稚園","手稲区","星置3-8",5,15,10,31,0,10,0,15,0,3,0,2
"まえだ認定こども園","手稲区","前田5-7",9,13,9,36,7,16,0,10,0,1,0,4
"認定こども園おおぞら幼稚園","手稲区","前田8-10",3,18,4,37,0,21,5,29,3,8,10,2
"認定こども園まえだ幼稚園(R5.4.1開設)","手稲区","前田555",9,6,12,25,30,23,5,16,10,6,0,14
"稲穂中央保育園","手稲区","稲穂4-7",6,5,0,14,1,1,3,5,8,1,5,0
"保育所型認定こども園手稲曙保育園","手稲区","曙2-1",18,23,6,41,4,15,6,16,3,3,0,2
"あかつき山口保育園","手稲区","曙11-1",25,11,4,11,0,6,5,8,2,1,0,0
"しんはっさむライラックこども園","手稲区","新発寒1-1",5,14,7,20,0,3,0,7,0,0,0,0
"前田中央保育園","手稲区","前田8-12",5,15,0,11,0,7,0,5,0,2,0,1
"認定こども園いなほガーデン星の子幼稚園","手稲区","稲穂2-5","","","","","","",5,5,3,0,1,1
"認定こども園手稲札幌アカデミー","手稲区","前田13-10","","",9,9,12,5,10,7,9,1,5,0
"札幌北陽保育園","手稲区","手稲山口511",6,12,3,18,2,8,0,3,2,2,0,0
"手稲桃の花保育園","手稲区","手稲本町2-4",3,12,2,21,1,6,0,5,0,0,0,0
"札幌市手稲区保育・子育て支援センター","手稲区","手稲本町3-2",7,13,6,18,1,10,3,14,1,0,1,1
"新発寒みつばち保育園","手稲区","新発寒4-1",5,8,2,13,0,2,0,8,2,1,2,0
"新発寒たんぽぽ保育園","手稲区","新発寒6-4",7,10,1,15,2,15,2,12,1,1,1,0
"宮の沢さくら保育園","手稲区","西宮の沢4-1",3,7,15,19,7,4,1,2,3,0,2,1
"手稲みつばち保育園 (R5.4.1開設)","手稲区","前田4-13",6,9,9,27,9,19,7,12,7,0,7,0
"スター保育園前田園","手稲区","前田6-11",6,12,6,24,0,7,5,11,5,0,5,0
"さより第2保育園","手稲区","富丘1-5",3,7,4,21,1,6,3,9,5,0,0,1
"富丘バオバブ保育園","手稲区","富丘2-2",4,16,0,13,0,5,0,11,0,1,3,0
"つくし保育園(0歳分園含む)","手稲区","富丘2-4",6,10,0,24,0,8,0,8,0,1,0,2
"手稲中央さら~れ保育園(R5.4.1開設)","手稲区","富丘3-5","",0,"",1,"","","",2,"",0,"",0
"あすかぜ保育園","手稲区","明日風3",6,18,3,18,2,10,0,4,0,0,0,1
"ぴっころきっず手稲駅前","手稲区","手稲本町1-4",6,2,0,12,2,5,"","","","","",""
"第2手稲あじさい保育園","手稲区","手稲本町2-2",2,10,2,19,2,4,"","","","","",""
"手稲あじさい保育園","手稲区","手稲本町2-2",5,12,2,23,0,3,"","","","","",""
"キラキラ乳児保育園","手稲区","新発寒6-2",3,2,4,5,0,1,"","","","","",""
"たからの杜星置保育園","手稲区","星置1-3",3,5,5,5,0,0,"","","","","",""
"さら~れ保育園前田園","手稲区","前田6-15",3,0,4,14,0,6,"","","","","",""
"S.T.ナーサリーSCHOOL手稲前田","手稲区","前田6-16",3,3,6,14,3,8,"","","","","",""
"さら~れ保育園富丘園","手稲区","富丘1-4",3,9,5,16,0,3,"","","","","",""
"富丘ニンニン保育園","手稲区","富丘2-2",8,13,3,20,0,2,"","","","","",""
"保育室ベリーベリー","手稲区","前田7-7",1,1,1,2,0,0,"","","","","",""
